Photo,Specimen,Species,Location,Sensillum_type,Olfactory_type,x,y,Number,Comments,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,193.753,100.222,39,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,208.028,97.1,40,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,181.857,159.701,41,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,207.136,164.609,42,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,214.125,156.281,43,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,204.46,140.371,44,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,216.207,121.189,45,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,246.541,184.831,46,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,232.117,171.003,47,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,226.616,180.519,48,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,246.244,118.958,49,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,256.058,128.178,50,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,232.712,103.94,51,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,178.586,79.702,52,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,192.118,78.512,53,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,206.244,73.457,54,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,175.463,59.33,55,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,203.121,66.914,56,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,220.965,91.747,57,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,246.541,107.509,58,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,257.099,179.181,59,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,262.898,196.876,60,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,257.991,169.516,61,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,266.913,142.75,62,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,277.916,137.992,63,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,268.846,117.025,64,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,177.991,166.69,65,yellow,,,,,,,,,,,
bicelloynchaM f3_xy.tif,NCC Ent 2,Bicellonycha wickershamorum,F3,mechano,NA,57.843,91.152,66,yellow,,,,,,,,,,,
